ID,activity_code
6489,2-740 - Flexible Pavement Asphalt Pavement
6497,14-900 - Transportation
6505,3-100 - Concrete Reinforcement
6513,6-400 - Architectural Woodwork
6521,3-330 - Poured Concrete Basement Walls
6529,12-100 - Art
6537,5-700 - Ornamental Metal
6545,2-821 - Chain Link Fences
6553,5-300 - Metal Deck
6561,11-200 - Water Supply and Treatment Equipment
6569,1-520 - Construction Facilities
6577,14-800 - Scaffolding
6585,11-600 - Laboratory Equipment
6593,11-900 - Exhibit Equipment
6601,10-340 - Manufactured Exterior Specialties
6609,11-120 - Vending Equipment
6617,"15-950 - Testing, Adjusting, and Balancing"
6625,2-917 - Soil Preparation
6633,11-470 - Darkroom Equipment
6641,13-230 - Digester Covers and Appurtenances
6649,2-830 - Retaining Walls
6657,11-660 - Observatory Equipment
6665,13-020 - Building Modules
6673,2-362 - Termite Control
6681,5-700 - Ornamental Metal
6689,3-400 - Precast Concrete
6697,8-700 - Hardware
6705,"10-800 - Toilet, Bath, and Laundry Specialties"
6713,12-600 - Multiple Seating
6721,17-040 - Profit
6729,7-200 - Thermal Protection - Insulation
6737,3-310 - Expansion Joints
6745,"13-080 - Sound, Vibration, and Seismic Control"
6753,2-740 - Flexible Pavement Asphalt Pavement
6761,2-923 - Seeding and Soil Supplements
6769,5-100 - Structural Metals
6777,9-400 - Terrazzo
6785,9-900 - Paints and Coatings
6793,8-600 - Skylights
6801,6-200 - Finish Carpentry
6809,13-020 - Building Modules
6817,2-923 - Seeding and Soil Supplements
6825,11-090 - Checkroom Equipment
6833,3-600 - Grouts
6841,12-100 - Art
6849,1-012 - Superintendent
6857,15-900 - HVAC Instruments and Controls
6865,12-500 - Furniture
6873,9-250 - Gypsum Wallboard
6881,13-220 - Filter Underdrains and Media
6889,9-250 - Gypsum Wallboard
6897,13-900 - Fire Suppression
6905,1-740 - Cleaning
6913,2-822 - Ornamental Metal Fences and Gates
6921,3-500 - Cementitious Decks and Underlayments
6929,2-935 - Plant Maintenance
6937,13-030 - Special Purpose Rooms
6945,8-300 - Specialty Doors
6953,1-540 - Construction Aids
6961,2-770 - Curb and Gutters
6969,"15-950 - Testing, Adjusting, and Balancing"
6977,2-310 - Grading
6985,3-230 - Anchor Bolts
6993,13-700 - Security Access and Surveillance
7001,7-200 - Thermal Protection - Insulation
7009,2-500 - Utility Services
7017,2-500 - Utility Services
7025,2-000 - General
7033,1-540 - Construction Aids
7041,10-820 - Bathroom Accessories
7049,2-740 - Flexible Pavement Asphalt Pavement
7057,2-784 - Stone Unit Pavers
7065,12-600 - Multiple Seating
7073,1-640 - Owner Furnished Products
7081,1 - General Requirements
7089,"15-700 - Heating, Venting and Air Conditioning"
7097,2-621 - Foundatation Drainage Piping
7105,8-700 - Hardware
7113,7-700 - Roof Specialties and Accessories
7121,2-362 - Termite Control
7129,"10-800 - Toilet, Bath, and Laundry Specialties"
7137,16-300 - Transmission and Distribution
7145,1-012 - Superintendent
7153,9-900 - Paints and Coatings
7161,15-300 - Fire Protection Piping
7169,8-100 - Doors
7177,11-010 - Maintenance Equipment
7185,11-450 - Residential Equipment
7193,13-900 - Fire Suppression
7201,3-320 - Slab Foundations
7209,14-600 - Hoists and Cables
7217,12-800 - Interior Plants and Planters
7225,13-500 - Recording Instrumentation
7233,3-600 - Grouts
7241,9-100 - Metal Support Assemblies
7249,1-640 - Owner Furnished Products
7257,8 - Doors and Windows
7265,10-600 - Partitions
7273,13 - Special Construction
7281,2-870 - Sculpture/Ornamental
7289,12-400 - Furnishings and Accessories
7297,16-800 - Sound and Video
7305,9-500 - Ceilings
7313,1-640 - Owner Furnished Products
7321,2-312 - Rough Grading
7329,14-600 - Hoists and Cables
7337,11-150 - Parking Control Equipment
7345,10-350 - Flagpoles
7353,10-550 - Postal Specialties
7361,"15-950 - Testing, Adjusting, and Balancing"
7369,9-600 - Flooring
7377,2-780 - Clay Unit Pavers
7385,3-210 - Cast-In-Place Concrete
7393,12-900 - Furnishings Restoration and Repair
7401,2-822 - Ornamental Metal Fences and Gates
7409,13-700 - Security Access and Surveillance
7417,2-250 - Shoring and Underpinning
7425,5-300 - Metal Deck
7433,15-300 - Fire Protection Piping
7441,11-140 - Vehicle Service Equipment
7449,2-784 - Stone Unit Pavers
7457,1-012 - Superintendent
7465,5-500 - Metal Fabrications
7473,10-880 - Scales
7481,8-700 - Hardware
7489,11-080 - Registration Equipment
7497,11-190 - Detention Equipment
7505,2-500 - Utility Services
7513,9-250 - Gypsum Wallboard
7521,8-200 - Wood and Plastic Doors
7529,17 - Markup and Contingency
7537,7-800 - Fire and Smoke Protection
7545,1-700 - Execution Requirements
7553,13-240 - Oxygenation Systems
7561,1-550 - Vehicular Access and Parking
7569,4 - Masonry
7577,13-400 - Measurement and Control Instrumentation
7585,11-450 - Residential Equipment
7593,2-924 - Sodding
7601,3-350 - Concrete Finishing
7609,13-220 - Filter Underdrains and Media
7617,13-120 - Pre-Engineered Structures
7625,6-600 - Plastic Fabrications
7633,16-200 - Electrical Power
7641,8-100 - Doors
7649,2-320 - Excavation and Fill
7657,2-317 - Select Borrow
7665,1-000 - Purpose
7673,15-800 - Air Distribution
7681,2-900 - Landscaping
7689,8-300 - Specialty Doors
7697,5-800 - Expansion Control
7705,4-700 - Simulated Masonry
7713,16-200 - Electrical Power
7721,2-870 - Sculpture/Ornamental
7729,2-812 - Drip Irrigation
7737,7-100 - Damproofing and Waterproofing
7745,11-170 - Solid Waste Handling Equipment
7753,4-900 - Masonry Restoration and Cleaning
7761,13-090 - Radiation Protection
7769,8-800 - Glazing
7777,8-100 - Doors
7785,10-750 - Telephone Specialties
7793,1-520 - Construction Facilities
7801,10-260 - Wall and Corner Guards
7809,2-320 - Excavation and Fill
7817,13-500 - Recording Instrumentation
7825,"15-950 - Testing, Adjusting, and Balancing"
7833,13-900 - Fire Suppression
7841,10-250 - Service Walls
7849,2-784 - Stone Unit Pavers
7857,11-300 - Fluid Waste Treatment and Disposal Equipment
7865,14 - Conveying Systems
7873,13-030 - Special Purpose Rooms
7881,1-012 - Superintendent
7889,2-540 - Septic Tank
7897,11-470 - Darkroom Equipment
7905,2-250 - Shoring and Underpinning
7913,2-936 - Fertilizer
7921,11-780 - Mortuary Equipment
7929,11-400 - Food Service Equipment
7937,2-924 - Sodding
7945,14-800 - Scaffolding
7953,14-100 - Dumbwaiters
7961,2-311 - Final Grading
7969,5-800 - Expansion Control
7977,7 - Thermal and Moisture Protection
7985,2-821 - Chain Link Fences
7993,1-530 - Temporary Construction
